"","fips","year","uranium_avg_excess","arsenic_avg_excess","dehp_avg_excess","nitrates_avg_excess","haa_avg_excess","thm_avg_excess","county","total_med","total_agri_fish_mine","agri_fish_hunt","mining_quarrying_oilgas_extract","construction","manufacturing","wholesale_trade","retail_trade","transport_warehouse_utilities","transport_warehouse","utilities","information","fin_ins_realest","fin_ins","realest_rent_lease","total_prof_sci_mgmt_admin","prof_sci_tech","admin_sup","total_edu_health_social","edu_serv","health_social","total_arts_ent_acc_food","arts_ent_rec","acc_food_serv","other_ser","pub_admin","maxcontam"
"1880","21087","2015",0,0,0,0,0.0791666666666667,0,"Green County, Kentucky",0.0774490321666667,-0.939645504,-0.825921283833333,-0.00856242466666667,0.303920848166667,0.0277394571666667,-0.160537913166667,0.0191054631666667,0.067653061,0.102625612666667,-0.0533056705,-0.328292462333333,-0.0444745295,-0.1342567855,1.719630376,-0.141918034833333,-0.561424300333333,-0.0241839205,-0.0355458581666667,-0.311144821166667,0.0180854235,-0.3009884835,0.00392073166666666,-0.279906682666667,0.0242018815,0.360593606833333,0.158333333333333
"1881","21087","2016",0,0,0,0,0,0,"Green County, Kentucky",0.0174802531666667,-0.602236196,-0.650500628833333,-0.00875006866666667,-0.0101996218333333,0.0348299571666667,-0.104816375166667,-0.0616994788333333,0.096524362,0.0291157376666667,-0.0922084575,-0.324187447333333,0.0606461945,0.1936954695,-0.346071937,-0.0651259318333333,1.32938955366667,0.0218506725,0.160590439833333,0.164399385833333,0.1042113365,0.3760301605,-0.000648855333333337,0.375695213333333,-0.0077647855,-0.0514560461666667,0
"1882","21089","2011",0,0,0,0,0,0,"Greenup County, Kentucky",0.000200199666666666,0.106250893666667,0.279637822833333,0.523829111333333,0.016960558,0.00172717983333334,0.129928566666667,0.0840119713333333,0.0553555231666667,0.0553690493333333,-0.163081805833333,0.0202726925,-0.0515521483333333,0.2227277155,-0.366471042333333,0.0127853946666667,-0.0725775991666667,0.098967085,-0.0121967278333333,-0.0198685198333333,-0.0313415168333333,0.0157946536666667,-0.00576739616666666,-0.0040906895,0.047210144,-0.074589989,0
"1883","21089","2012",0,0,0,0,0,0.00768749999999998,"Greenup County, Kentucky",0.0172524046666667,0.150611384666667,0.0901572208333333,-0.334681445666667,0.014383089,0.0189551388333333,-0.364526179333333,-0.00220078566666667,-0.0291601018333333,-0.0309884386666667,0.662549284166667,-0.0829467465,0.308613523666667,0.0038358585,0.221306748666667,-0.0130478863333333,0.0434568338333333,-0.180908043,0.0716637011666667,0.0520687471666667,0.0719273801666667,0.0205789556666667,-0.0102282821666667,0.0362634715,-0.078257064,-0.145465086,0.0307499999999999
"1884","21089","2013",0,0,0,0,0,0.0267857142857143,"Greenup County, Kentucky",-0.0136699403333333,0.0689929866666667,0.106563562833333,-0.0570849916666667,-0.033732758,-0.0273354801666667,0.00474328166666667,0.0616733703333333,-0.00554164283333333,-0.00510026466666667,-0.206985031833333,-0.0428591415,-0.101559794333333,-0.0966055205,-0.183935629333333,0.0140737776666667,-0.00593081216666667,-0.018546602,-0.0377804698333333,-0.0293890778333333,-0.0347252068333333,0.00808851466666667,-0.00925267216666666,0.0035436355,-0.104305008,-0.064392706,0.1875
"1885","21089","2014",0,0,0,0,0.105952380952381,0.132660714285714,"Greenup County, Kentucky",-0.00916309933333333,0.0366804866666667,-0.0576688181666667,-0.0147288726666667,-0.054502974,0.0399578248333333,-0.00727284433333333,-0.0548937076666667,0.00975343316666667,0.0193780343333333,-0.221799846833333,-0.0535593315,-0.164025948333333,-0.2001569125,1.31681232866667,0.00781026066666667,0.0601228168333333,0.064333398,-0.0196599728333333,-0.00969671283333333,-0.0189373368333333,-0.102747501333333,-0.584085283166667,-0.0692744055,-0.08231861,0.148849338,0.741666666666667
"1886","21089","2015",0,0,0,0,0,0,"Greenup County, Kentucky",0.00279176166666667,-0.368648297333333,-0.273593954166667,-0.0364203926666667,0.006519857,-0.0181690831666667,0.0677731526666667,-0.126675508666667,-0.0140521978333333,-0.0230687426666667,-0.0114963098333333,0.1828567485,0.155970891666667,0.1795273205,-0.185990938333333,0.00333324666666667,-0.0143151761666667,0.13035263,-0.00998428883333334,0.0102690831666667,-0.0118015388333333,-0.0213341693333333,0.299223473833333,-0.0418518345,0.401632689,-0.048534703,0
"1887","21089","2016",0,0,0,0,0,0,"Greenup County, Kentucky",0.00258867366666667,0.00611254566666668,-0.145095834166667,-0.0809134086666667,0.050372228,-0.0151355801666667,0.169354022666667,0.0380846603333333,-0.0163550138333333,-0.0155896376666667,-0.0591862898333333,-0.0237642215,-0.147446524333333,-0.1093284615,-0.801721467333333,-0.0249547933333333,-0.0107560631666667,-0.094198468,0.00795775816666666,-0.00338351983333333,0.0248782191666667,0.0796195466666667,0.310110159833333,0.0754098225,-0.183962151,0.184133146,0
"1900","21095","2011",0,0,0,0,0,0,"Harlan County, Kentucky",0.0450951563333333,-0.00492977083333333,0.4462912435,-0.010405524,-0.0550640813333333,0.269946565833333,0.07597618,-0.0154543411666667,0.140696862833333,0.180783781166667,-0.00936079,-0.187663868833333,-0.166734126666667,-0.0755309805,-1.12579946016667,-0.1718264185,-0.0288089293333333,-0.213145835833333,0.051286885,0.291801476333333,0.0100383755,0.0271312426666667,0.224442642833333,0.0467067083333333,-0.0941580133333333,0.237508708,0
"1901","21095","2012",0,0,0,0,0,0,"Harlan County, Kentucky",-0.0215050116666667,0.0396354681666667,-0.3294279365,0.046689023,-0.168585806333333,0.0719562028333333,0.074289816,0.000839069833333338,-0.0669237911666667,-0.0285591178333333,-0.076807573,-1.08396620083333,0.124453980333333,0.1030781995,-0.488932246166667,0.0529854915,-0.0472617553333333,0.383708112166667,-0.056080432,-0.271474826666667,-0.0311675225,0.0102326226666667,0.168156091833333,-0.00940124766666666,-0.0714052733333333,-0.052564938,0
"1902","21095","2013",0,0,0,0,0,0,"Harlan County, Kentucky",0.00521043033333333,-0.0173019628333333,-0.1148209215,-0.022732122,-0.0789966213333333,-0.00824582416666667,-0.036932906,-0.0460707741666667,-0.00305067716666667,0.0129228421666667,0.01472446,-0.190220491833333,0.00699837333333333,0.0424528545,-0.555522537166667,0.0316993495,-0.0122142233333333,0.00613551516666667,0.029607185,0.0214969073333333,0.0070464375,-0.0314645243333333,-0.0426119021666667,-0.0317604446666667,0.0367681016666667,-0.013185689,0
